node_id,author,year,title,type,venue_or_publisher,subfield,topic,role_in_dialogue,metadata_status,notes
hidalgo_2025,Jacqueline M. Hidalgo,2025,Revelation and Decolonial Biblical Studies,article,JSNT special issue,Revelation,decoloniality,Current decolonial continuation,needs-verification,Recent JSNT special issue seed
thomas_2025,Niki Kasumi Clements / Thomas,2025,"Revelation, Sexual Violence, and Imperial Fantasy",article,JSNT special issue,Revelation,sexual violence,Current gender/violence contribution,needs-verification,Recent JSNT special issue seed
breu_2025,Clarice J. Martin? / Breu,2025,Revelation and Race/Ethnicity,article,JSNT special issue,Revelation,race; empire,Current race/ethnicity contribution,needs-verification,Recent JSNT special issue seed
huber_2025,Lynn R. Huber,2025,"Revelation, Visuality, and Embodiment",article,JSNT special issue,Revelation,visuality; gender,Current visuality/embodiment contribution,needs-verification,Recent JSNT special issue seed
pippin_response_2025,Tina Pippin,2025,Response to Revelation Special Issue,article,JSNT special issue,Revelation,feminist response,Senior feminist response to current Revelation debate,needs-verification,Recent JSNT special issue seed
mcclain_2026,Rubin McClain,2026,New Jerusalem and Greco-Roman City Founding,article,CBQ 88.1,Revelation,New Jerusalem; city founding,Current urban/contextual Revelation article,web-verified,CBQ 88.1 2026
westcott_hort_1881,B. F. Westcott and F. J. A. Hort,1881,The New Testament in the Original Greek,edition/introduction,Macmillan,NT Textual Criticism,genealogical method,Foundational modern NT text theory,needs-page-verification,
colwell_1969,Ernest C. Colwell,1969,Method in Evaluating Scribal Habits,article,Studies in Methodology in Textual Criticism,NT Textual Criticism,scribal habits,Empirical scribal-habits method,needs-page-verification,
metzger_1968,Bruce M. Metzger,1968,The Text of the New Testament,book,Oxford University Press,NT Textual Criticism,manual,Standard manual and internal/external criteria,needs-page-verification,
epp_1974,Eldon Jay Epp,1974,The Twentieth-Century Interlude in New Testament Textual Criticism,article,JBL,NT Textual Criticism,disciplinary history,Provokes reassessment of method and goals,needs-page-verification,
ehrman_1993,Bart D. Ehrman,1993,The Orthodox Corruption of Scripture,book,Oxford University Press,NT Textual Criticism,theology and variants,Variants in Christological/theological conflict,needs-page-verification,
parker_1997,D. C. Parker,1997,The Living Text of the Gospels,book,Cambridge University Press,NT Textual Criticism,living text,Textual plurality and Gospel transmission,needs-page-verification,
epp_1999,Eldon Jay Epp,1999,The Multivalence of the Term Original Text,article,HTR,Textual Criticism,original text,Problematises the goal of 'original text',needs-page-verification,
royse_2008,James R. Royse,2008,Scribal Habits in Early Greek New Testament Papyri,book,Brill,NT Textual Criticism,scribal habits,Large-scale papyri scribal-habits study,needs-page-verification,
mink_2009,Gerd Mink,2009,"Contamination, Coherence, and Coincidence in Textual Transmission",article,TC/CBGM venues,NT Textual Criticism,CBGM,Foundational coherence-based genealogical method discussion,needs-page-verification,
wasserman_gurry_2017,Tommy Wasserman and Peter J. Gurry,2017,A New Approach to Textual Criticism,book,SBL Press,NT Textual Criticism,CBGM,Accessible CBGM introduction,needs-page-verification,
allen_2025,Garrick V. Allen,2025,Studies of Shapes: Subjectivity in Palaeography and Understanding,article,NTS 71.2,NT Textual Criticism,palaeography,Current critique of objective palaeographic dating,web-verified,Cambridge NTS latest issue 2025
cross_dss_1958,Frank Moore Cross,1958,The Ancient Library of Qumran,book,Doubleday,Qumran/Text,DSS textual pluriformity,Early synthesis of Qumran manuscript significance,needs-page-verification,
talmon_1975,Shemaryahu Talmon,1975,The Three Scrolls of the Law that Were Found in the Temple Court,article,Textus,HB Textual Criticism,textual plurality,Model for textual plurality and groups,needs-page-verification,
tov_1992,Emanuel Tov,1992,Textual Criticism of the Hebrew Bible,book,Fortress,HB Textual Criticism,manual,Standard Hebrew Bible textual-criticism manual,needs-page-verification,
ulrich_1999,Eugene Ulrich,1999,The Dead Sea Scrolls and the Origins of the Bible,book,Eerdmans,HB Textual Criticism,pluriformity,DSS and pluriform biblical text,needs-page-verification,
gallagher_2024,Edmon L. Gallagher,2024,The LXX and the Development of Biblical Canon,article,JBL 143.2,Textual Criticism/LXX,canon; LXX,Recent LXX/canon article,web-verified,Project MUSE JBL 143.2 2024
catalano_2025,A. G. Catalano,2025,Alternative Readings in the Septuagint as 'Snapshots' of Textual Development,article,Vetus Testamentum 75.4-5,Textual Criticism/LXX,Hosea; LXX,Recent LXX textual development article,web-verified,Brill VT 75.4-5 2025
garcia_alayon_2026,Carlos A. Garcia Alayon,2026,Delimiting Creation: The Early Septuagint Witness of Genesis 1,article,CBQ 88.1,Textual Criticism/LXX,Genesis 1; LXX,Current Genesis 1 LXX article,web-verified,CBQ 88.1 2026
press_2025,Michael Press,2025,Fake Dead Sea Scrolls: Towards a Full History,article,Dead Sea Discoveries 32.3,Qumran/Manuscripts,DSS forgeries,Current provenance/forgery history,web-verified,Brill DSD 32.3 2025
schurer_1886,Emil Schürer,1886,A History of the Jewish People in the Time of Jesus Christ,book,T&T Clark,Second Temple Judaism,historical synthesis,Classic historical infrastructure,needs-page-verification,
vanderkam_1984,James C. VanderKam,1984,Enoch and the Growth of an Apocalyptic Tradition,book,Catholic Biblical Association,Second Temple Judaism,Enoch; apocalyptic,Foundational Enoch/apocalyptic study,needs-page-verification,
nickelsburg_2001,George W. E. Nickelsburg,2001,1 Enoch 1,commentary,Hermeneia,Second Temple Judaism,1 Enoch,Major critical commentary,needs-page-verification,
collins_1998,John J. Collins,1998,The Apocalyptic Imagination,book,Eerdmans,Second Temple Judaism,apocalypticism,Standard synthesis of Jewish apocalyptic,needs-page-verification,
stone_1990,Michael E. Stone,1990,Fourth Ezra,commentary,Hermeneia,Second Temple Judaism,4 Ezra,Major critical commentary,needs-page-verification,
boccaccini_1998,Gabriele Boccaccini,1998,Beyond the Essene Hypothesis,book,Eerdmans,Qumran,Enochic Judaism,Qumran in Enochic Judaism model,needs-page-verification,
dimant_2014,Devorah Dimant,2014,"History, Ideology and Bible Interpretation in the Dead Sea Scrolls",book,Mohr Siebeck,Qumran,interpretation/history,Major DSS interpretive essays,needs-page-verification,
newsom_2004,Carol A. Newsom,2004,The Self as Symbolic Space,book,Brill,Qumran,identity; sectarianism,Identity formation in Qumran community,needs-page-verification,
schiffman_1994,Lawrence H. Schiffman,1994,Reclaiming the Dead Sea Scrolls,book,Jewish Publication Society,Qumran,halakhah,Qumran as Jewish legal movement,needs-page-verification,
tigchelaar_2007,Eibert Tigchelaar,2007,Classifications of the Collection of Dead Sea Scrolls and the Case of Apocryphon of Jeremiah C,article,JSJ/DSD,Qumran,classification,Challenges categories of DSS corpus,needs-page-verification,
goff_2013,Matthew Goff,2013,4QInstruction,book,SBL Press,Qumran,wisdom; apocalyptic,Wisdom/apocalyptic at Qumran,needs-page-verification,
stuckenbruck_2017,Loren T. Stuckenbruck,2017,The Myth of Rebellious Angels,book,Mohr Siebeck,Second Temple Judaism,Watchers; evil,Watchers tradition and evil,needs-page-verification,
kosmin_2024,Paul J. Kosmin,2024,"Enoch, Time, and Hellenistic Chronography",article,JBL 143.1,Second Temple Judaism,Enoch; time,Recent Enoch/chronography article,web-verified,Project MUSE JBL 143.1 2024
hughes_huff_2024,Hannah Harrington Hughes-Huff,2024,The Dead Sea Scrolls in Popular Media,article,JBL 143.3,Qumran/Reception,DSS; media,Recent public-media reception article,web-verified,Project MUSE JBL 143.3 2024
strack_stemberger_1982,Hermann L. Strack and Günter Stemberger,1982,Introduction to the Talmud and Midrash,book,Fortress,Rabbinics,introduction,Core rabbinic literature introduction,needs-page-verification,
lieberman_1946,Saul Lieberman,1946,Hellenism in Jewish Palestine,book,Jewish Theological Seminary,Rabbinics,Hellenism; Palestine,Classic rabbinics and Hellenistic context,needs-page-verification,
neusner_1973,Jacob Neusner,1973,The Rabbinic Traditions about the Pharisees before 70,book,Brill,Rabbinics,tradition history,Programmatic source-critical rabbinics,needs-page-verification,
halivni_1986,David Weiss Halivni,1986,"Midrash, Mishnah, and Gemara",book,Harvard University Press,Rabbinics,stammaim; redaction,Stammaitic redaction theory,needs-page-verification,
boyarin_1990,Daniel Boyarin,1990,Intertextuality and the Reading of Midrash,book,Indiana University Press,Rabbinics,midrash; intertextuality,Literary/intertextual turn in midrash,needs-page-verification,
fraade_1991,Steven D. Fraade,1991,From Tradition to Commentary,book,SUNY Press,Rabbinics,Sifre Deuteronomy,Rabbinic commentary and pedagogy,needs-page-verification,
hayes_1997,Christine Hayes,1997,Between the Babylonian and Palestinian Talmuds,book,Oxford University Press,Rabbinics,Talmud comparison,Comparative Bavli/Yerushalmi method,needs-page-verification,
hezser_2001,Catherine Hezser,2001,Jewish Literacy in Roman Palestine,book,Mohr Siebeck,Rabbinics,literacy,Social history of literacy,needs-page-verification,
rubenstein_1999,Jeffrey L. Rubenstein,1999,Talmudic Stories,book,Johns Hopkins University Press,Rabbinics,narrative; redaction,Literary/redactional reading of Bavli stories,needs-page-verification,
kalmin_2006,Richard Kalmin,2006,Jewish Babylonia between Persia and Roman Palestine,book,Oxford University Press,Rabbinics,Babylonia; context,Bavli in imperial/geographic context,needs-page-verification,
berkowitz_2006,Beth A. Berkowitz,2006,Execution and Invention,book,Oxford University Press,Rabbinics,law; Roman context,Rabbinic execution and Roman law,needs-page-verification,
vidas_2014,Moulie Vidas,2014,Tradition and the Formation of the Talmud,book,Princeton University Press,Rabbinics,redaction; tradition,Formation and authority in Bavli,needs-page-verification,
balberg_2017,Mira Balberg,2017,Blood for Thought,book,University of California Press,Rabbinics,sacrifice; cognition,Rabbinic sacrifice after Temple,needs-page-verification,
rosenzvi_2012,Ishay Rosen-Zvi,2012,Demonic Desires,book,University of Pennsylvania Press,Rabbinics,yetzer; anthropology,Rabbinic anthropology and desire,needs-page-verification,
koren_2025,Yedida Koren,2025,Reading Rabbinic Law as Literature,article,AJS Review?,Rabbinics,law as literature,Recent rabbinics article seed,needs-verification,Recent-literature seed
schwartz_dei_verbum_2026,Ethan Schwartz,2026,Tradition-Informed Historical Criticism: A Jewish Reading of Dei Verbum 12,article,CBQ 88.1,Jewish-Christian Hermeneutics,tradition; criticism,Current cross-tradition hermeneutical article,web-verified,CBQ 88.1 2026
trible_1984,Phyllis Trible,1984,Texts of Terror,book,Fortress,Feminist HB,sexual violence,Classic feminist close readings of terror texts,needs-page-verification,
sfiorenza_1983,Elisabeth Schüssler Fiorenza,1983,In Memory of Her,book,Crossroad,Feminist NT,early Christian women,Foundational feminist reconstruction,needs-page-verification,
weems_1995,Renita J. Weems,1995,Battered Love,book,Fortress,Womanist HB,prophetic marriage metaphor,Womanist critique of prophetic sexual violence metaphors,needs-page-verification,
yee_2003,Gale A. Yee,2003,Poor Banished Children of Eve,book,Fortress,Feminist/materialist HB,Genesis; ideology,Feminist/materialist ideology critique,needs-page-verification,
dube_2000,Musa W. Dube,2000,Postcolonial Feminist Interpretation of the Bible,book,Chalice,Postcolonial/Feminist,method,Foundational postcolonial feminist method,needs-page-verification,
segovia_2000,Fernando F. Segovia,2000,Decolonizing Biblical Studies,book,Orbis,Postcolonial,method,Programmatic decolonial/postcolonial intervention,needs-page-verification,
sugirtharajah_2001,R. S. Sugirtharajah,2001,The Bible and the Third World,book,Cambridge University Press,Postcolonial/Global,reception/history,Global/postcolonial biblical studies,needs-page-verification,
gafney_2017,Wilda C. Gafney,2017,Womanist Midrash,book,Westminster John Knox,Womanist HB,midrash; gender,Womanist exegetical method,needs-page-verification,
smith_junior_2018,Mitzi J. Smith and Nyasha Junior,2018,I Found God in Me,edited volume,Cascade,Womanist NT,womanist biblical hermeneutics,Womanist biblical interpretation collection,needs-page-verification,
dube_2024,Musa W. Dube,2024,"Behold, the Global Translated Bible(s)! Research and Pedagogical Implications",article,JBL 143.1,Global/Reception,global translated Bibles,Current programmatic global Bible article,web-verified,Project MUSE JBL 143.1 2024
thiede_2024,Barbara Thiede,2024,Rape Culture and Biblical Studies,article,JBL 143.2,Critical Methods,rape culture,Current methodological intervention,web-verified,Project MUSE JBL 143.2 2024
dempsey_2026,Carol J. Dempsey,2026,Moving beyond Text-Fetishism,article,CBQ 88.1,Methods,text-fetishism; hermeneutics,Current methodological intervention,web-verified,CBQ 88.1 2026
qin_yan_global_2025,Qian Qin and Fangming Yan,2025,A Sinicized Feminist Reading of Song of Songs,article,JSOT 50.2,Global/Feminist Reception,Chinese translation; Song,Current Sinicized feminist reception article,web-verified,SAGE JSOT 50.2 2025
schipper_2006,Jeremy Schipper,2006,Disability Studies and the Hebrew Bible,book,T&T Clark,Disability Studies,method,Foundational disability-HB monograph,needs-page-verification,
moss_2011,Candida Moss,2011,The Other Christs,book,Oxford University Press,Disability/NT,martyrdom; body,Embodiment and difference in early Christianity,needs-page-verification,
belser_2015,Julia Watts Belser,2015,"Power, Ethics, and Ecology in Jewish Late Antiquity",book,Cambridge University Press,Disability/Ecology/Rabbinics,ecology; disability,Jewish late antique ecology/ethics,needs-page-verification,
millar_2024,Suzanna R. Millar,2024,The Division of Animal and Human Labor,article,JBL 143.3,Animal Studies/HB,animal labor,Current animal studies article,web-verified,Project MUSE JBL 143.3 2024
portier_young_2024,Anathea Portier-Young,2024,Miriam's Embodied Prophecy,article,JBL 143.2,Feminist HB,embodiment; prophecy,Current embodiment/gender article,web-verified,Project MUSE JBL 143.2 2024
beavis_2026,Mary Ann Beavis,2026,Tabitha the Disciple: Female Agency in Acts,article,CBQ 88.1,Feminist NT,Acts; female agency,Current feminist Acts article,web-verified,CBQ 88.1 2026
douglas_2026_gender,Sally Douglas,2026,Home in Time for Dinner,article,JSNT 48.3,Feminist NT,Mark; meals; gender,Current gendered meal-scene reading,web-verified,SAGE JSNT 48.3 2026
geiger_1833,Abraham Geiger,1833,Was hat Mohammed aus dem Judenthume aufgenommen?,book,Bonn,Qur'an/Bible,Jewish sources,Classic source-comparison framework,needs-page-verification,
speyer_1931,Heinrich Speyer,1931,Die biblischen Erzählungen im Qoran,book,Hildesheim,Qur'an/Bible,biblical narratives,Classic inventory of biblical narratives in Qur'an,needs-page-verification,
wansbrough_1977,John Wansbrough,1977,Quranic Studies,book,Oxford University Press,Qur'an/Bible,sectarian milieu,Revisionist literary formation model,needs-page-verification,
neuwirth_2010,Angelika Neuwirth,2010,Der Koran als Text der Spätantike,book,Verlag der Weltreligionen,Qur'an/Bible,late antiquity,Qur'an as late antique text,needs-page-verification,
reynolds_2010,Gabriel Said Reynolds,2010,The Qur'an and Its Biblical Subtext,book,Routledge,Qur'an/Bible,biblical subtext,Qur'an in conversation with biblical traditions,needs-page-verification,
griffith_2013,Sidney H. Griffith,2013,The Bible in Arabic,book,Princeton University Press,Christian Arabic,Arabic Bible,Christian Arabic and Islamicate scriptural world,needs-page-verification,
pregill_2020,Michael Pregill,2020,The Golden Calf between Bible and Qur'an,book,Oxford University Press,Qur'an/Bible,Golden Calf,Long genealogy of biblical/Qur'anic exegetical tradition,needs-page-verification,
sinai_2017,Nicolai Sinai,2017,The Qur'an: A Historical-Critical Introduction,book,Edinburgh University Press,Qur'an/Bible,historical criticism,Current historical-critical synthesis,needs-page-verification,
radday_shore_1985,Yehuda T. Radday and Haim Shore,1985,Genesis: An Authorship Study in Computer-Assisted Statistical Linguistics,book,Biblical Institute Press,Digital/HB,stylometry,Early computational authorship study,needs-page-verification,
koppel_2011,Moshe Koppel et al.,2011,Unsupervised Decomposition of a Document into Authorial Components,article,Proceedings/PNAS?,Digital/HB,computational source criticism,Computational authorship/source decomposition,needs-page-verification,
faigenbaum_golovin_2016,Shira Faigenbaum-Golovin et al.,2016,Algorithmic Handwriting Analysis of Judah's Military Correspondence,article,PNAS,Digital/Epigraphy,ostraca; literacy,Algorithmic paleography/literacy debate,needs-page-verification,
yoffe_2023,Laura Yoffe,2023,Computational Approaches to Biblical Source Criticism,article,journal seed,Digital/HB,source criticism,Recent computational-source-criticism seed,needs-verification,Recent-literature seed
smiley_2025,B. Smiley,2025,Computational Parallel Detection and Inner-Biblical Allusion,article,journal seed,Digital/HB,allusion detection,Recent computational intertext seed,needs-verification,Recent-literature seed
